                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.69449,                0.54538,                 1.0086,                0.75804,                0.66304,                0.73799,                 0.4334,                 1.4107,                 1.0417,                 1.4495,                0.00101,                0.00101,                0.00101
                    103,                0.63883,                0.49439,                 0.9651,                0.81306,                0.63587,                0.74619,                 0.4407,                  1.404,                 1.1365,                 1.4306,              0.0010001,              0.0010001,              0.0010001
                    104,                0.61585,                0.45488,                0.96065,                0.81609,                0.63587,                0.74123,                0.44383,                 1.4017,                 1.1154,                 1.4547,              0.0009902,              0.0009902,              0.0009902
                    105,                0.63625,                 0.4819,                0.95766,                0.73909,                0.69565,                0.74735,                0.43759,                 1.4286,                    1.1,                 1.4576,              0.0009803,              0.0009803,              0.0009803
                    106,                0.65784,                0.49118,                0.97482,                0.78538,                0.70652,                0.77127,                0.43857,                 1.4849,                 1.0676,                 1.4702,              0.0009704,              0.0009704,              0.0009704
                    107,                0.69853,                 0.5139,                0.94659,                0.80158,                0.65866,                0.75361,                0.44621,                 1.4971,                  1.096,                 1.4756,              0.0009605,              0.0009605,              0.0009605
                    108,                0.66552,                0.53806,                0.98317,                0.75057,                0.67391,                0.72651,                0.42162,                 1.5276,                 1.1757,                 1.5026,              0.0009506,              0.0009506,              0.0009506
                    109,                0.63468,                0.48173,                 0.9632,                0.67854,                0.74566,                0.74391,                0.45153,                 1.4472,                 1.0983,                 1.4447,              0.0009407,              0.0009407,              0.0009407
                    110,                0.60449,                0.45652,                0.96101,                0.81131,                0.65217,                0.74768,                0.43939,                 1.4905,                 1.1297,                 1.4781,              0.0009308,              0.0009308,              0.0009308
                    111,                0.66271,                 0.6986,                 0.9946,                0.69422,                0.68478,                0.72616,                0.43523,                 1.4608,                 1.1167,                 1.4622,              0.0009209,              0.0009209,              0.0009209
                    112,                0.58891,                0.45037,                0.95169,                0.78377,                0.66848,                 0.7378,                0.42842,                 1.4659,                 1.0789,                 1.4579,               0.000911,               0.000911,               0.000911
                    113,                0.65964,                0.48997,                0.95571,                0.76005,                0.68478,                0.73963,                0.44335,                 1.4877,                 1.0946,                 1.4672,              0.0009011,              0.0009011,              0.0009011
                    114,                0.63728,                0.47307,                0.95727,                 0.8455,                0.62457,                0.72215,                0.42507,                 1.4822,                 1.1352,                 1.4665,              0.0008912,              0.0008912,              0.0008912
                    115,                 0.6427,                0.49363,                0.95055,                0.71902,                0.68478,                0.71476,                0.42324,                  1.463,                 1.1279,                 1.4732,              0.0008813,              0.0008813,              0.0008813
                    116,                0.67252,                0.47888,                0.96132,                0.80563,                0.63043,                 0.7314,                0.42603,                 1.4591,                 1.0823,                 1.4761,              0.0008714,              0.0008714,              0.0008714
                    117,                0.59941,                0.45062,                0.95552,                0.78747,                 0.6444,                0.73051,                0.40807,                 1.4789,                 1.1383,                 1.4765,              0.0008615,              0.0008615,              0.0008615
                    118,                0.60164,                0.47762,                0.95268,                0.79408,                0.67067,                0.74388,                0.42034,                 1.5066,                 1.1354,                 1.5332,              0.0008516,              0.0008516,              0.0008516
                    119,                0.63548,                0.47541,                0.94652,                0.80804,                0.65217,                0.75126,                0.42649,                 1.4831,                 1.1425,                 1.5029,              0.0008417,              0.0008417,              0.0008417
                    120,                0.63251,                0.51678,                0.95597,                0.73503,                0.68478,                0.71773,                0.42114,                 1.4917,                 1.1886,                 1.4881,              0.0008318,              0.0008318,              0.0008318
                    121,                0.57263,                0.48207,                0.95199,                0.70704,                0.71739,                0.73564,                0.44325,                 1.4378,                 1.0903,                 1.4671,              0.0008219,              0.0008219,              0.0008219
                    122,                0.59597,                0.45224,                 0.9306,                0.77578,                0.65814,                0.73344,                0.43701,                 1.4499,                 1.0635,                  1.478,               0.000812,               0.000812,               0.000812
                    123,                0.61631,                0.54392,                0.96915,                0.75775,                  0.714,                 0.7549,                0.45064,                  1.447,                 1.0477,                 1.4793,              0.0008021,              0.0008021,              0.0008021
                    124,                0.63976,                0.54512,                0.97876,                0.77859,                0.66848,                0.74902,                0.45127,                 1.4501,                 1.0657,                 1.4681,              0.0007922,              0.0007922,              0.0007922
                    125,                0.57274,                0.43161,                 0.9471,                0.82561,                  0.625,                0.72234,                0.44088,                 1.4179,                 1.0688,                 1.4284,              0.0007823,              0.0007823,              0.0007823
                    126,                0.58434,                0.43582,                 0.9451,                0.70889,                0.67494,                0.72389,                0.42445,                 1.4422,                 1.0602,                 1.4327,              0.0007724,              0.0007724,              0.0007724
                    127,                0.61248,                0.45655,                0.94914,                0.77501,                0.65761,                0.73113,                0.43717,                 1.4446,                 1.0306,                 1.4615,              0.0007625,              0.0007625,              0.0007625
                    128,                0.61085,                0.45295,                0.94362,                0.80779,                0.59387,                0.71205,                0.43203,                 1.4388,                 1.0291,                 1.4438,              0.0007526,              0.0007526,              0.0007526
                    129,                0.62347,                0.46311,                0.95302,                0.78046,                0.63757,                0.73343,                 0.4291,                 1.4655,                 1.0563,                 1.4953,              0.0007427,              0.0007427,              0.0007427
                    130,                0.60174,                0.47889,                0.95308,                0.77307,                0.68502,                0.76298,                0.45388,                 1.4403,                  1.017,                 1.4615,              0.0007328,              0.0007328,              0.0007328
                    131,                0.60313,                 0.4834,                0.94849,                0.74043,                 0.7337,                0.76465,                0.45543,                 1.4519,                0.98953,                 1.4655,              0.0007229,              0.0007229,              0.0007229
                    132,                 0.5977,                0.44454,                0.95139,                0.79373,                0.69013,                0.74506,                0.44711,                 1.4563,                 1.0844,                 1.4707,               0.000713,               0.000713,               0.000713
                    133,                 0.6244,                0.57218,                 0.9549,                0.72698,                0.69022,                0.73568,                0.43339,                 1.4772,                 1.0961,                 1.5022,              0.0007031,              0.0007031,              0.0007031
                    134,                0.68882,                0.53819,                 1.0653,                0.76208,                0.66304,                0.71444,                 0.4248,                 1.4586,                 1.0718,                 1.4943,              0.0006932,              0.0006932,              0.0006932
                    135,                0.60674,                0.42704,                0.94367,                0.81246,                0.63587,                 0.7298,                0.42721,                 1.5045,                  1.088,                 1.5264,              0.0006833,              0.0006833,              0.0006833
                    136,                0.60775,                0.45581,                0.97827,                  0.783,                 0.6413,                0.73753,                0.44416,                 1.4416,                 1.0962,                 1.4835,              0.0006734,              0.0006734,              0.0006734
                    137,                0.56166,                0.44055,                0.94973,                0.69476,                0.71196,                0.73488,                0.43529,                 1.4856,                 1.1022,                 1.5165,              0.0006635,              0.0006635,              0.0006635
                    138,                0.51679,                0.41293,                0.93311,                0.70821,                0.69914,                0.73287,                0.43426,                 1.4847,                 1.1171,                  1.505,              0.0006536,              0.0006536,              0.0006536
                    139,                 0.5829,                0.47344,                0.94619,                0.76351,                0.64674,                0.73756,                0.45073,                 1.4401,                 1.0674,                 1.4545,              0.0006437,              0.0006437,              0.0006437
                    140,                0.55862,                0.52315,                0.94137,                0.81983,                0.67391,                0.74893,                 0.4564,                 1.4062,                 1.0677,                 1.4415,              0.0006338,              0.0006338,              0.0006338
                    141,                0.55975,                0.43755,                0.94661,                0.78482,                0.65217,                0.75089,                0.43857,                 1.4415,                 1.0991,                 1.4786,              0.0006239,              0.0006239,              0.0006239
                    142,                 0.5821,                 0.4192,                0.93185,                 0.7884,                0.66822,                0.73801,                0.45119,                 1.4317,                  1.053,                 1.4808,               0.000614,               0.000614,               0.000614
                    143,                0.63279,                0.45179,                0.93056,                0.70256,                0.71889,                0.74641,                 0.4457,                 1.4377,                 1.0546,                 1.4901,              0.0006041,              0.0006041,              0.0006041
                    144,                0.55405,                0.40892,                0.93849,                0.81856,                0.65217,                0.74935,                0.44858,                 1.4461,                 1.0864,                 1.4885,              0.0005942,              0.0005942,              0.0005942
                    145,                0.56267,                0.40829,                0.99186,                0.80551,                0.65277,                0.74229,                0.43162,                 1.4454,                 1.1498,                 1.4819,              0.0005843,              0.0005843,              0.0005843
                    146,                0.60279,                0.44334,                0.92949,                0.78522,                0.66304,                0.73142,                0.42984,                  1.452,                 1.0928,                 1.4892,              0.0005744,              0.0005744,              0.0005744
                    147,                0.54059,                 0.4059,                0.92479,                0.80128,                0.69022,                0.74775,                0.45077,                 1.4083,                 1.0701,                 1.4586,              0.0005645,              0.0005645,              0.0005645
                    148,                0.54145,                0.39885,                0.91617,                 0.7709,                0.69492,                0.75598,                0.46699,                 1.3769,                 1.0353,                 1.4421,              0.0005546,              0.0005546,              0.0005546
